CPU;Latency;IOPS
% Processor Time;Avg. Disk sec/Transfer;Disk Transfers/sec
70.82648468;0.001309697;75924.99219
71.83425903;0.001301131;76596.20313
70.74195862;0.001301821;76494.51563
70.42987061;0.001297375;76588.08594
71.33283234;0.001300887;76386.38281
71.60085297;0.001300321;76424.99219
72.77397919;0.001300805;76454.85938
71.64025879;0.00130493;76269.73438
71.17108154;0.001302349;76432.46875
71.15156555;0.001303414;76325.71094
72.50172424;0.001297127;76513.66406
72.16585541;0.001305579;76448.875
72.38040924;0.001296511;76723.96094
71.24909973;0.001295426;76746.71094
72.45843506;0.001291507;76729.10938
71.81529236;0.001298531;76771.05469
71.85865784;0.001299628;76416.5625
71.34700775;0.001293349;76930.77344
72.30239105;0.001287387;76939.03906
71.17108154;0.001294724;76825.08594
72.55595398;0.001286657;77137.47656
71.7781601;0.001298985;76557.03125
72.38478851;0.001288611;76914.60938
71.52256775;0.001290273;76850.04688
71.80971527;0.001290296;76898.52344
71.81511688;0.001290768;76748.41406
71.15193176;0.001285173;77030.03906
72.84886169;0.001295381;76782.64063
71.62596893;0.001293102;76818.0625
70.48871613;0.001289138;77058.13281
71.46395874;0.001276571;77183.11719
71.32806396;0.001289242;76844.78125
72.79029083;0.001281892;77135.44531
72.28314209;0.001281425;77147.22656
72.81317902;0.001284199;76861.67969
72.75125122;0.001279875;76848.24219
72.77072906;0.001290399;76851.03125
72.80973053;0.001276701;76901.71094
73.39740753;0.001282829;76965.39844
72.41964722;0.001278721;77021.94531
73.24156952;0.001287076;76885.32813
71.97099304;0.001283913;76940.00781
72.16603851;0.001287311;76751.39844
71.15176392;0.001278703;77134.52344
72.34156799;0.001276952;77266.03906
71.69832611;0.001273114;77438.16406
71.82038879;0.001291601;76641.9375
72.57561493;0.00127538;77097.17188
71.5501709;0.001287363;76937.32031
72.49943542;0.001275094;77177.72656
72.05478668;0.001300613;76396.88281
72.10733795;0.001306239;76115.49219
70.62528229;0.001281909;77131.41406
72.69290924;0.001284032;77023.03125
71.49421692;0.001284654;76986.67969
72.28300476;0.001280541;77113.42969
71.95140839;0.001272915;77414.25
71.23141479;0.001285828;77074.76563
71.77585602;0.001270099;77606.64844
72.06842804;0.001276139;77371.51563
